Date,chl (ug/L),pres (dbar),sal (PSU),temp (C)
11/10/15 1:42,22.307,3.712,33.199,19.95
11/10/15 1:35,22.311,3.588,33.201,19.94
11/10/15 1:29,22.305,3.541,33.2,19.95
11/10/15 1:23,22.323,3.463,33.2,19.95
11/10/15 1:17,22.316,3.471,33.199,19.95
11/10/15 1:11,22.315,3.476,33.198,19.95
11/10/15 1:05,22.31,3.448,33.199,19.96
11/10/15 0:59,22.316,3.377,33.2,19.99
11/10/15 0:53,22.311,3.338,33.2,20
11/10/15 0:47,22.322,3.325,33.201,20.01
11/10/15 0:41,22.311,3.344,33.2,20.04
11/10/15 0:35,22.311,3.217,33.201,20.05
11/10/15 0:29,22.307,3.265,33.199,20.08
11/10/15 0:23,22.32,3.22,33.197,20.09
11/10/15 0:17,22.322,3.211,33.199,20.08
11/10/15 0:11,22.323,3.134,33.197,20.09
11/10/15 0:05,22.315,3.018,33.197,20.09
11/9/15 23:59,22.319,3.031,33.198,20.08
11/9/15 23:53,22.327,3.118,33.199,20.11
11/9/15 23:47,22.332,2.962,33.199,20.13
11/9/15 23:41,22.328,3.014,33.198,20.16
11/9/15 23:35,22.341,2.972,33.193,20.18
11/9/15 23:29,22.336,3.013,33.194,20.17
11/9/15 23:23,22.337,3.011,33.194,20.16
11/9/15 23:17,22.334,2.875,33.194,20.16
11/9/15 23:11,22.337,2.809,33.194,20.16
11/9/15 23:05,22.335,2.868,33.195,20.18
11/9/15 22:59,22.33,2.851,33.197,20.18
11/9/15 22:53,22.315,2.769,33.199,20.18
11/9/15 22:47,22.318,2.774,33.191,20.19
11/9/15 22:41,22.318,2.875,33.191,20.15
11/9/15 22:35,22.32,2.752,33.192,20.15
11/9/15 22:29,22.319,2.814,33.186,20.16
11/9/15 22:23,22.328,2.781,33.184,20.13
11/9/15 22:17,22.31,2.794,33.189,20.11
11/9/15 22:11,22.32,2.776,33.197,20.08
11/9/15 22:05,22.325,2.77,33.199,20.07
11/9/15 21:59,22.32,2.76,33.198,20.08
11/9/15 21:53,22.335,2.798,33.198,20.08
11/9/15 21:47,22.333,2.764,33.198,20.08
11/9/15 21:41,22.343,2.714,33.197,20.09
11/9/15 21:35,22.351,2.821,33.195,20.06
11/9/15 21:29,22.359,2.832,33.201,20.05
11/9/15 21:23,22.363,2.735,33.203,20.05
11/9/15 21:17,22.363,2.746,33.205,20.05
11/9/15 21:11,22.368,2.76,33.204,20.05
11/9/15 21:05,22.37,2.805,33.205,20.05
11/9/15 20:59,22.377,2.813,33.205,20.05
11/9/15 20:53,22.395,2.913,33.206,20.05
11/9/15 20:47,22.395,2.818,33.206,20.05
11/9/15 20:41,22.379,2.877,33.205,20.07
11/9/15 20:35,22.388,2.921,33.206,20.07
11/9/15 20:29,22.387,2.971,33.205,20.07
11/9/15 20:23,22.392,2.983,33.206,20.07
11/9/15 20:17,22.402,3.061,33.206,20.07
11/9/15 20:11,22.404,2.961,33.206,20.08
11/9/15 20:05,22.409,3.065,33.204,20.05
11/9/15 19:59,22.412,3.159,33.203,20.04
11/9/15 19:53,22.418,3.039,33.206,20.04
11/9/15 19:47,22.422,3.163,33.204,20.04
11/9/15 19:41,22.423,3.193,33.206,20.03
11/9/15 19:34,22.423,3.204,33.202,20.05
11/9/15 19:28,22.413,3.254,33.2,20.02
11/9/15 19:22,22.418,3.316,33.202,19.96
11/9/15 19:16,22.41,3.209,33.2,19.96
11/9/15 19:10,22.426,3.328,33.203,19.95
