Lesson	|	Title	|	Readings	|	Topics	|	Assignment
-----	|	-----	|	-----	|	-----	|	-----
[1](https://github.com/cuttlefishh/python-for-data-analysis/blob/master/lessons/lesson01.md)	|	Overview	|	--	|	Introductions and overview of course	|	Pre-course survey; Acquire texts
[2](https://github.com/cuttlefishh/python-for-data-analysis/blob/master/lessons/lesson02.md)	|	Command Line Part I	|	Shaw: Introduction,<br>Exercise 0,<br>Appendix A	|	Command line crash course; Text editors	|	Assignment 1: Basic Shell Commands
[3](https://github.com/cuttlefishh/python-for-data-analysis/blob/master/lessons/lesson03.md)	|	Command Line Part II	|	--	|	Advanced commands in the bash shell	|	--
[4](https://github.com/cuttlefishh/python-for-data-analysis/blob/master/lessons/lesson04.ipynb)	|	Conda, IPython, and Jupyter Notebooks	|	--	|	Conda tutorial including Conda environments, Python packages, and PIP, Python and IPython in the command line, Jupyter notebook tutorial and Python crash course	|	Assignment 2: Bash, Conda, IPython, and Jupyter
[5](https://github.com/cuttlefishh/python-for-data-analysis/blob/master/lessons/lesson05.ipynb)	|	Python Basics, Strings, Printing	|	Shaw: Ex1-10; Lutz: Ch1-7	|	Python scripts, error messages, printing strings and variables, strings and string operations, numbers and mathematical expressions, getting help with commands and Ipython	|	--
[6](https://github.com/cuttlefishh/python-for-data-analysis/blob/master/lessons/lesson06.ipynb)	|	Taking Input, Reading and Writing Files, Functions	|	Shaw: Ex11-26; Lutz: Ch9,14-17	|	Taking input, reading files, writing files, functions	|	Assignment 3: Python Fundamentals I
[7](https://github.com/cuttlefishh/python-for-data-analysis/blob/master/lessons/lesson07.ipynb)	|	Logic, Loops, Lists, Dictionaries, and Tuples	|	Shaw: Ex27-39; Lutz: Ch8-13	|	Logic and loops, lists and list comprehension, tuples, dictionaries, other types	|	--
[8](https://github.com/cuttlefishh/python-for-data-analysis/blob/master/lessons/lesson08.ipynb)	|	Python and IPython Review	|	McKinney: Ch1-3	|	Review of Python commands, IPython review -- enhanced interactive Python shells with support for data visualization, distributed and parallel computation and a browser-based notebook with support for code, text, mathematical expressions, inline plots and other rich media	|	Assignment 4: Python Fundamentals II
[9](https://github.com/cuttlefishh/python-for-data-analysis/blob/master/lessons/lesson09.ipynb)	|	Regular Expressions	|	Regex tutorials (see lesson)	|	Regular expression syntax, Command-line tools: `grep`, `sed`, `awk`, `perl -e`, Python examples: built-in and `re` module	|	--
[10](https://github.com/cuttlefishh/python-for-data-analysis/blob/master/lessons/lesson10.ipynb)	|	Numpy, Pandas and Matplotlib Crashcourse	|	--	|	Numpy, Pandas, and Matplotlib overview	|	Assignment 5: Regular Expressions
[11](https://github.com/cuttlefishh/python-for-data-analysis/blob/master/lessons/lesson11.ipynb)	|	Pandas Basics	|	McKinney: Ch4-5	|	Intro to NumPy and Pandas: `ndarray`, `Series`, `DataFrame`, `index`, `columns`, `dtypes`, `info`, `describe`, `read_csv`, `head`, `tail`, `loc`, `iloc`, `ix`, `to_datetime`	|	--
[12](https://github.com/cuttlefishh/python-for-data-analysis/blob/master/lessons/lesson12.ipynb)	|	Pandas Advanced	|	McKinney: Ch6-8	|	Data Analysis with Pandas: `concat`, `append`, `merge`, `join`, `set_option`, `stack`, `unstack`, `transpose`, dot-notation, `values`, `apply`, `lambda`, `sort_index`, `sort_values`, `to_csv`, `read_csv`, `isnull`	|	Assignment 6: Pandas Fundamentals
[13](https://github.com/cuttlefishh/python-for-data-analysis/blob/master/lessons/lesson13.ipynb)	|	Plotting with Matplotlib	|	McKinney: Ch9; J.R. Johansson: [Matplotlib 2D and 3D plotting in Python](http://github.com/jrjohansson/scientific-python-lectures)	|	Matplotlib tutorial from J.R. Johansson	|	--
[14](https://github.com/cuttlefishh/python-for-data-analysis/blob/master/lessons/lesson14.ipynb)	|	Plotting with Seaborn	|	[Seaborn Tutorial](http://seaborn.pydata.org/tutorial.html)	|	Seaborn tutorial from Michael Waskom	|	Assignment 7: Matplotlib and Seaborn
[15](https://github.com/cuttlefishh/python-for-data-analysis/blob/master/lessons/lesson15.ipynb)	|	Pandas Time Series	|	McKinney: Ch11	|	Time series data in Pandas	|	--
[16](https://github.com/cuttlefishh/python-for-data-analysis/blob/master/lessons/lesson16.ipynb)	|	Pandas Group Operations	|	McKinney: Ch10	|	`groupby`, `melt`, `pivot`, `inplace=True`, `reindex`	|	Assignment 8: Pandas Advanced
[17](https://github.com/cuttlefishh/python-for-data-analysis/blob/master/lessons/lesson17.ipynb)	|	Statistics Packages	|	--	|	Statitics capabilities of Pandas, Numpy, Scipy, and Scikit-bio	|	--
[18](https://github.com/cuttlefishh/python-for-data-analysis/blob/master/lessons/lesson18.ipynb)	|	Interactive Visualization with Bokeh	|	[Bokeh User Guide](http://bokeh.pydata.org/en/latest/docs/user_guide.html)	|	Quickstart guide to making interactive HTML and notebook plots with Bokeh	|	Assignment 9: Statistics and Interactive Visualization
[19](https://github.com/cuttlefishh/python-for-data-analysis/blob/master/lessons/lesson19.md)	|	Modules and Classes	|	Lutz: TBA	|	Packaging your code so you and others can use it again	|	--
[20](https://github.com/cuttlefishh/python-for-data-analysis/blob/master/lessons/lesson20.md)	|	Git and GitHub	|	--	|	Sharing your code in a public GitHub repository	|	Final Project
